"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"24" "2b" 2 106193 35 18 "A"
"24" "0b" 3 146194 75.001 38 "A"
"24" "2b" 4 182194 111.001 56 "A"
"24" "0b" 5 222195 151.002 76 "A"
"24" "2b" 6 259196 188.003 94 "A"
"24" "0b" 7 294196 223.003 112 "A"
"24" "2b" 8 335197 264.004 132 "A"
"24" "0b" 9 373198 302.005 151 "A"
"24" "2b" 10 414199 343.006 172 "A"
"24" "0b" 11 450200 379.007 190 "A"
"24" "2b" 12 488200 417.007 209 "A"
"25" "2b" 1 56839 0 1 "B"
"25" "0b" 2 92839 36 18 "B"
"25" "2b" 3 130840 74.001 37 "B"
"25" "0b" 4 170841 114.002 57 "B"
"25" "2b" 5 205842 149.003 75 "B"
"25" "0b" 6 244842 188.003 94 "B"
"25" "2b" 7 281843 225.004 113 "B"
"25" "0b" 8 321844 265.005 133 "B"
"25" "2b" 9 362845 306.006 153 "B"
"25" "0b" 10 397845 341.006 171 "B"
"25" "2b" 11 433846 377.007 189 "B"
"25" "0b" 12 471847 415.008 208 "B"
"26" "0b" 1 63968 0 1 "A"
"26" "2b" 2 99957 35.989 18 "A"
"26" "0b" 3 137958 73.99 37 "A"
"26" "2b" 4 178959 114.991 58 "A"
"26" "0b" 5 214961 150.993 76 "A"
"26" "2b" 6 249962 185.994 93 "A"
"26" "0b" 7 289963 225.995 113 "A"
"26" "2b" 8 327965 263.997 132 "A"
"26" "0b" 9 367966 303.998 152 "A"
"26" "2b" 10 408968 345 173 "A"
"26" "0b" 11 447969 384.001 192 "A"
"26" "2b" 12 484957 420.989 211 "A"
"27" "2b" 1 57664 0 1 "B"
"27" "0b" 2 93665 36.001 18 "B"
"27" "2b" 3 128666 71.002 36 "B"
"27" "0b" 4 163667 106.003 53 "B"
"27" "2b" 5 204669 147.005 74 "B"
"27" "0b" 6 243670 186.006 93 "B"
"27" "2b" 7 281672 224.008 112 "B"
"27" "0b" 8 321673 264.009 132 "B"
"27" "2b" 9 358675 301.011 151 "B"
"27" "0b" 10 396676 339.012 170 "B"
"27" "2b" 11 437664 380 190 "B"
"27" "0b" 12 477666 420.002 210 "B"
"28" "0b" 1 52975 0 1 "A"
"28" "2b" 2 88977 36.002 18 "A"
"28" "0b" 3 127978 75.003 38 "A"
"28" "2b" 4 168980 116.005 58 "A"
"28" "0b" 5 204968 151.993 76 "A"
"28" "2b" 6 242969 189.994 95 "A"
"28" "0b" 7 282971 229.996 115 "A"
"28" "2b" 8 317972 264.997 133 "A"
"28" "0b" 9 352973 299.998 150 "A"
"28" "2b" 10 393975 341 171 "A"
"28" "0b" 11 431976 379.001 190 "A"
"28" "2b" 12 468978 416.003 208 "A"
"29" "2b" 1 70863 0 1 "B"
"29" "0b" 2 110864 40.001 20 "B"
"29" "2b" 3 145865 75.002 38 "B"
